Id,Load_Number__c,Stop_Positions__r
a07Vc00000MneELIAZ,11295PD21,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DzMAI'}), 'Id': 'a0BVc000001g2DzMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2E0MAI'}), 'Id': 'a0BVc000001g2E0MAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtetMAA'}), 'Id': 'a0BVc000001gtetMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteuMAA'}), 'Id': 'a0BVc000001gteuMAA', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneDAIAZ,112F1P9ZL,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BVMAY'}), 'Id': 'a0BVc000001g2BVMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BWMAY'}), 'Id': 'a0BVc000001g2BWMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcPMAQ'}), 'Id': 'a0BVc000001gtcPMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcQMAQ'}), 'Id': 'a0BVc000001gtcQMAQ', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneEIIAZ,112YS6FG3,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DtMAI'}), 'Id': 'a0BVc000001g2DtMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DuMAI'}), 'Id': 'a0BVc000001g2DuMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtenMAA'}), 'Id': 'a0BVc000001gtenMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteoMAA'}), 'Id': 'a0BVc000001gteoMAA', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneDGIAZ,1139GZWLY,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BhMAI'}), 'Id': 'a0BVc000001g2BhMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BiMAI'}), 'Id': 'a0BVc000001g2BiMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcbMAA'}), 'Id': 'a0BVc000001gtcbMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtccMAA'}), 'Id': 'a0BVc000001gtccMAA', 'TYPE__c': 'Delivery'})]})"
a07J6000000wCmmIAE,113CJL2L2,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BJ6000000UCt2MAG'}), 'Id': 'a0BJ6000000UCt2MAG', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BJ6000000UCt3MAG'}), 'Id': 'a0BJ6000000UCt3MAG', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2ETMAY'}), 'Id': 'a0BVc000001g2ETMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2EUMAY'}), 'Id': 'a0BVc000001g2EUMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtfNMAQ'}), 'Id': 'a0BVc000001gtfNMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtfOMAQ'}), 'Id': 'a0BVc000001gtfOMAQ', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneENIAZ,113CS96QY,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2E3MAI'}), 'Id': 'a0BVc000001g2E3MAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2E4MAI'}), 'Id': 'a0BVc000001g2E4MAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtexMAA'}), 'Id': 'a0BVc000001gtexMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteyMAA'}), 'Id': 'a0BVc000001gteyMAA', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneEAIAZ,113HB2LWF,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DdMAI'}), 'Id': 'a0BVc000001g2DdMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DeMAI'}), 'Id': 'a0BVc000001g2DeMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteXMAQ'}), 'Id': 'a0BVc000001gteXMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteYMAQ'}), 'Id': 'a0BVc000001gteYMAQ', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneDNIAZ,113M68JK6,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BvMAI'}), 'Id': 'a0BVc000001g2BvMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BwMAI'}), 'Id': 'a0BVc000001g2BwMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcpMAA'}), 'Id': 'a0BVc000001gtcpMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcqMAA'}), 'Id': 'a0BVc000001gtcqMAA', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneE4IAJ,113QZCRPC,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DPMAY'}), 'Id': 'a0BVc000001g2DPMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2DQMAY'}), 'Id': 'a0BVc000001g2DQMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteJMAQ'}), 'Id': 'a0BVc000001gteJMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gteKMAQ'}), 'Id': 'a0BVc000001gteKMAQ', 'TYPE__c': 'Delivery'})]})"
a07Vc00000MneDFIAZ,1142F7VHT,"OrderedDict({'totalSize': 4, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BfMAI'}), 'Id': 'a0BVc000001g2BfMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001g2BgMAI'}), 'Id': 'a0BVc000001g2BgMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcZMAQ'}), 'Id': 'a0BVc000001gtcZMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BVc000001gtcaMAA'}), 'Id': 'a0BVc000001gtcaMAA', 'TYPE__c': 'Delivery'})]})"
